       |  Part1          |  Part2
-------+-----------------+-----------------
Day01  |  1530215        |  26800609
Day02  |  624            |  658
Day03  |  184511516      |  90044227
Day04  |  2447           |  1868
Day05  |  6242           |  5169
Day06  |                 |
Day07  |  6392012777720  |  61561126043536
Day08  |  313            |  1064
Day09  |  6446899523367  |  6478232739671
Day10  |                 |
Day11  |                 |
Day12  |                 |
Day13  |  30413          |  92827349540204
Day14  |  223020000      |  7338
Day15  |                 |
